,BDI,CPI,EFFR,IPI,Unemployment,CRB_Change,Fed_Assets_Change,PCE_Change,SP500_Change,USD_Index_Change,CRB_MA_3,CRB_MA_6,CRB_MA_12,CRB_Lag_1,CRB_Lag_2,CRB_Lag_3,CRB_Lag_6
90,-0.6440722281912773,1.8469681649828253,0.6138050542425698,1.534162849647572,0.7502691573500102,-0.9807887979953874,0.4035497842548063,1.2654795395902005,-0.9058543725134989,0.41035443302002483,-2.176838253409193,-0.9924364457632568,-0.30112848793528724,-1.2613816018414234,-2.6805452579407274,-0.5704863212170431,1.5216267089620068
91,-0.6440722281912773,1.7287697677797367,0.6621085399651316,1.5571462648445527,0.6384791107852553,0.051660776528992855,-0.2504608378901573,0.7792138412924084,-0.34383723774130326,0.30996685237726307,-0.9440128787281437,-1.379076762027748,-0.08830851685750372,-0.9381940402960521,-1.250441677572322,-2.618353122864205,1.4293507498132543
92,-0.6440722281912773,1.7098701116629742,0.7205570106982269,1.6101463058455827,0.6384791107852553,0.4967512800405651,0.17430897180911864,1.261993930794518,-1.5829987998549082,-0.9138556299803374,-0.14996759438972349,-1.3929058332835356,0.3483563202135728,0.09975318602577328,-0.9309990289095604,-1.2193214124282152,0.6228807461364865
93,-0.6440722281912773,1.8928513416769794,0.7235942245944008,1.2159228333546026,0.6384791107852553,0.645979665721662,0.3306700031172545,1.8650841525645103,0.547719812537803,-0.8111880807791569,0.5680515630941354,-1.0234508210960918,0.44306222383162763,0.5472137351715678,0.09492105775152034,-0.9068192963019562,-0.49974238879556376
94,-0.6440722281912773,1.8732706145692388,0.7383709171252848,0.9538962993289237,0.4060322330251538,1.805498825487595,0.49475579029045186,1.3792908755988895,-0.1825368211644812,-1.3763946294915879,1.3421563889271886,0.28817464275174004,0.6018639265646941,0.6972367414549807,0.5371966896098329,0.0968106178629658,-2.504845462820296
95,-0.6440722281912773,1.9506273072288598,0.767138862204313,0.7295593361585497,0.4060322330251538,1.3548578019992956,0.44109655395008174,1.956909053119863,-2.131273499610466,-0.9767745864003595,1.7209053846634246,1.0546521421719777,0.5184323132770108,1.86293018106,0.6854813149783611,0.5294769241479248,-1.1350284507973596
96,-0.6440722281912773,1.6242001724178055,0.7776350001814146,0.4334648389868317,0.3459568711374588,0.5314411265858624,-0.29166070555379286,1.2615202857458614,-1.0184863045831254,-0.3172209765437303,1.6703506393484067,1.4908722553521043,0.34644971337215996,1.4098895561830087,1.8376673647621984,0.6745397684820744,-0.8290520302703982
97,-0.6440722281912773,1.701642439743165,0.7779173460226948,0.6225551891984902,0.3459568711374588,1.4935673875036395,-0.6211951696689094,2.2768606736387187,0.48611927255962567,-0.8458725010936997,1.5326710904209537,1.9068067999675378,0.36468990650694866,0.5820883003723022,1.3898763159033398,1.8016922643553586,0.15361999920761443
98,-0.6440722281912773,1.7721470320657613,0.7884695482115609,0.9093512806274736,0.2232970118397805,0.3316872733362539,-1.187077389213505,2.8872380114364757,2.3174974080033333,-0.13789042528610093,1.0810665398420012,1.859192188911313,0.3264317001853048,1.5493377511273558,0.5716671482667661,1.3636303745714382,0.5772513311190006
99,-0.6440722281912773,2.1371920544497502,0.871489946817629,0.8248699086142666,0.160665167596438,-0.054425825214710566,0.3919836204868977,2.646024724999899,-0.1405404376609339,1.0984698303440683,0.8224779917407568,1.6571521700214273,0.4306734564392662,0.3812707853638421,1.5277086648070575,0.5631984429220399,0.7192849608781345
